t_sec,collisions_per_sec
470.391,1324.525
471.397,1398.682
472.403,1428.186
473.403,1422.017
474.418,1543.837
475.420,1450.747
476.421,1400.981
477.429,1511.932
478.437,1540.103
479.448,1494.044
480.459,1464.210
481.476,1418.860
482.492,1595.785
483.506,1506.766
484.520,1512.042
485.534,1599.237
486.548,1511.238
487.563,1483.818
488.575,1506.436
489.578,1626.037
490.580,1508.604
491.589,1496.568
492.591,1522.008
493.592,1384.452
494.601,1552.595
495.605,1615.865
496.606,1362.909
497.619,1312.971
498.634,1347.012
499.648,1287.719
500.652,1369.183
501.652,1340.625
502.657,1307.658
503.658,1384.642
504.673,1473.903
505.681,1512.352
506.692,1348.028
507.708,1278.714
508.712,1366.127
509.726,1303.668
510.743,1434.145
511.754,1285.564
512.770,1395.795
513.787,1436.300
514.797,1310.788
515.805,1392.032
516.823,1537.295
517.834,1445.297
518.853,1376.401
519.864,1238.598
520.882,1313.945
521.884,1201.465
522.887,1197.595
523.903,1140.757
524.909,1205.238
525.917,1196.098
526.921,1183.130
527.929,1170.215
528.938,1339.648
529.947,1093.441
530.957,1061.470
531.974,1162.573
532.984,1249.850
533.998,1360.782
535.003,1310.708
536.020,1418.085
537.022,1217.952
538.027,1279.038
539.034,1349.757
540.036,1452.218
541.046,1308.519
542.065,1402.639
543.079,1324.344
544.088,1256.605
545.100,1420.641
546.103,1351.647
547.111,1345.636
548.126,1280.125
549.135,1262.125
550.146,1259.107
551.157,1238.065
552.171,1373.030
553.181,1238.111
554.198,1095.350
555.203,1211.596
556.208,1229.233
557.213,1263.319
558.218,1151.733
559.219,1190.745
560.227,1176.629
561.233,1148.063
562.233,1137.398
563.246,1259.411
564.258,1293.616
565.264,1176.299
566.273,1268.681
567.287,1353.513
568.295,1245.990
569.311,1301.288
570.327,1336.120
571.331,1351.325
572.341,1307.014
573.353,1368.958
574.367,1263.540
575.381,1399.789
576.394,1405.017
577.408,1336.534
578.416,1372.423
579.422,1348.112
580.423,1343.757
581.437,1309.705
582.449,1416.830
583.463,1367.322
584.472,1528.160
585.486,1446.643
586.501,1413.077
587.513,1496.202
588.522,1414.939
589.533,1511.793
590.551,1415.261
591.559,1427.885
592.575,1572.924
593.591,1463.292
594.594,1428.987
595.597,1419.516
596.600,1479.553
597.607,1552.492
598.620,1497.643
599.635,1268.215
600.638,1411.405
601.644,1373.857
602.651,1391.973
603.666,1319.575
604.678,1352.044
605.684,1317.488
606.685,1207.356
607.693,1251.115
608.696,1164.310
609.703,1168.074
610.717,1221.970
611.729,1245.784
612.730,1213.881
613.733,1190.889
614.749,1310.194
615.755,1441.931
616.761,1352.134
617.764,1294.453
618.773,1262.885
619.779,1410.947
620.790,1371.792
621.796,1400.824
622.805,1418.985
623.819,1527.125
624.828,1417.849
625.842,1377.660
626.847,1407.160
627.852,1453.781
628.867,1560.091
629.875,1523.546
630.883,1562.129
631.900,1587.205
632.918,1531.529
633.924,1472.178
634.925,1247.835
635.935,1343.458
636.941,1314.430
637.950,1276.383
638.961,1272.162
639.977,1382.262
640.980,1392.492
641.998,1318.499
643.010,1435.493
644.025,1319.279
645.043,1206.764
646.059,1343.095
647.073,1296.010
648.077,1478.672
649.092,1348.397
650.103,1405.572
651.114,1421.109
652.132,1434.038
653.136,1492.899
654.147,1408.899
655.163,1388.482
656.167,1297.947
657.179,1349.241
658.197,1415.186
659.198,1366.232
